produce_type,temperature,humidity,voc,storage_age,initial_shelf_life,remaining_shelf_life
Grapes,8.7,82.4,0.913,34.7,45,0.0
Cucumber,11.3,93.0,0.177,5.4,14,7.3
Broccoli,32.9,50.3,1.215,2.5,18,0.0
Carrot,1.1,99.6,0.088,9.3,30,19.4
Mango,34.1,71.9,11.985,12.8,21,0.0
Orange,4.7,84.1,0.133,13.1,70,53.8
Strawberry,12.5,83.0,3.673,4.0,5,0.0
Onion,28.1,70.7,0.634,144.9,180,0.0
Grapes,-0.4,94.0,0.237,26.1,45,11.0
Bell Pepper,28.6,74.0,1.504,6.3,18,0.0
Spinach,-0.1,98.6,0.17,10.6,12,0.0
Strawberry,8.4,74.8,0.656,0.9,5,0.4
Grapes,1.1,95.4,0.343,26.1,45,6.1
Spinach,29.9,72.3,2.302,7.5,12,0.0
Onion,34.2,67.1,1.031,104.0,180,0.0
Onion,22.4,61.3,0.18,56.3,180,90.4
Strawberry,2.5,94.8,0.903,2.2,5,0.1
Onion_Green,-1.4,100.0,0.327,22.4,25,0.0
Tomato,19.0,96.7,1.761,12.5,21,0.0
Onion_Green,10.2,91.8,0.99,17.2,25,0.0
Tomato,23.6,71.8,0.404,2.4,21,10.9
Tomato,15.5,86.8,0.085,1.1,21,19.7
Broccoli,-0.3,100.0,0.283,11.7,18,1.8
Apple,32.8,60.7,15.0,88.6,180,0.0
Onion,17.0,64.6,0.138,95.9,180,45.5
Grapes,8.3,84.1,0.806,36.2,45,0.0
Bell Pepper,11.0,91.1,0.293,6.9,18,8.5
Bell Pepper,18.0,80.8,1.337,14.4,18,0.0
Spinach,0.7,98.7,0.08,4.5,12,7.0
Orange,15.1,69.1,0.047,2.1,70,58.6
Onion,23.1,76.5,0.302,89.5,180,0.0
Onion_Green,30.0,61.8,4.253,11.2,25,0.0
Cucumber,34.3,79.9,3.283,10.7,14,0.0
Apple,0.0,100.0,0.489,83.5,180,12.6
Carrot,16.7,95.3,0.73,14.9,30,0.0
Onion_Green,-1.0,98.7,0.105,7.0,25,16.9
Potato,17.4,87.0,0.471,152.5,200,0.0
Onion_Green,9.2,77.4,0.753,14.4,25,0.0
Grapes,36.9,75.2,10.464,25.0,45,0.0
Cucumber,37.5,58.6,3.535,9.9,14,0.0
Bell Pepper,20.5,81.9,1.83,13.6,18,0.0
Broccoli,-2.0,100.0,0.377,16.4,18,0.0
Apple,11.8,78.8,2.658,142.7,180,0.0
Spinach,7.6,87.5,0.183,5.7,12,0.0
Cucumber,11.4,91.7,0.233,7.5,14,3.9
Onion,18.7,78.1,0.337,164.2,180,0.0
Broccoli,0.4,96.3,0.159,7.6,18,8.9
Orange,4.7,86.4,0.123,13.4,70,54.5
Orange,4.1,86.3,0.327,44.7,70,6.5
Carrot,35.3,50.0,8.932,27.2,30,0.0
Broccoli,33.4,55.4,5.768,8.7,18,0.0
Cucumber,32.4,71.0,2.4,6.4,14,0.0
Apple,1.5,93.5,0.696,136.2,180,0.0
Apple,-1.8,100.0,0.412,77.2,180,18.5
Strawberry,-0.5,95.1,0.495,1.3,5,2.8
Onion,40.7,58.7,1.238,76.7,180,0.0
Apple,1.0,92.3,0.887,125.6,180,0.0
Broccoli,-2.0,100.0,0.039,2.3,18,15.4
Onion,19.9,75.4,0.443,156.5,180,0.0
Strawberry,0.9,87.3,1.53,4.0,5,0.0
Onion_Green,-1.1,95.4,0.098,5.8,25,18.2
Apple,30.6,58.9,11.639,132.1,180,0.0
Orange,28.4,60.4,1.49,18.7,70,0.0
Cucumber,11.8,89.2,0.399,8.9,14,0.0
Carrot,34.4,59.7,7.094,28.4,30,0.0
Grapes,11.3,84.7,1.464,40.0,45,0.0
Mango,32.0,57.8,10.581,10.3,21,0.0
Bell Pepper,15.3,92.9,0.751,11.5,18,0.0
Apple,29.0,59.3,8.845,84.7,180,0.0
Broccoli,-0.1,100.0,0.258,15.1,18,0.0
Potato,7.5,89.8,0.174,105.5,200,65.2
Potato,14.6,78.8,0.339,117.1,200,0.0
Apple,1.5,90.6,0.769,138.5,180,0.0
Onion_Green,0.1,100.0,0.066,3.4,25,21.2
Strawberry,31.1,66.1,15.0,3.2,5,0.0
Grapes,32.7,63.4,3.615,10.8,45,0.0
Carrot,1.5,100.0,0.058,5.8,30,23.5
Strawberry,33.1,70.5,6.457,0.9,5,0.0
Spinach,32.2,56.8,1.364,3.3,12,0.0
Apple,36.1,58.6,15.0,105.2,180,0.0
Cucumber,10.2,97.4,0.145,5.5,14,7.1
Banana,13.2,92.9,2.097,16.7,20,0.0
Banana,27.1,86.4,2.905,7.2,20,0.0
Carrot,33.4,54.5,3.152,15.1,30,0.0
Apple,10.3,78.2,1.036,69.7,180,0.0
Bell Pepper,10.2,90.7,0.06,1.6,18,16.3
Tomato,16.7,85.2,1.035,12.0,21,0.0
Bell Pepper,22.4,82.7,0.931,9.4,18,0.0
Bell Pepper,12.3,90.5,0.234,4.7,18,11.3
Strawberry,-1.1,95.6,0.439,1.5,5,2.6
Strawberry,-0.9,90.0,0.165,0.6,5,4.3
Bell Pepper,11.9,98.6,0.119,2.4,18,14.5
Orange,4.1,94.9,0.422,57.2,70,0.0
Strawberry,-0.6,100.0,1.309,4.7,5,0.0
Mango,32.9,78.5,15.0,19.0,21,0.0
Apple,30.8,79.2,6.168,54.2,180,0.0
Tomato,17.0,85.8,0.201,2.3,21,18.1
Orange,8.4,87.7,0.208,19.8,70,40.7
Strawberry,1.6,99.7,0.361,2.1,5,1.2
Spinach,8.6,88.6,0.389,10.8,12,0.0
Bell Pepper,21.1,83.5,0.523,5.0,18,0.0
Potato,9.9,90.8,0.079,41.6,200,152.1
Banana,20.2,74.4,2.31,11.6,20,0.0
Spinach,30.8,62.7,2.116,5.3,12,0.0
Cucumber,31.6,79.6,1.317,5.6,14,0.0
Apple,3.5,100.0,0.114,12.3,180,160.5
Bell Pepper,9.0,92.4,0.528,16.3,18,0.0
Onion_Green,31.4,60.8,9.068,22.2,25,0.0
Mango,19.1,86.2,5.128,16.6,21,0.0
Orange,17.3,71.5,1.383,47.2,70,0.0
Mango,22.3,80.7,0.849,2.1,21,11.0
Banana,12.4,96.6,1.342,13.6,20,0.0
Apple,0.5,93.6,0.111,24.8,180,151.2
Potato,7.4,92.1,0.161,97.1,200,81.8
Grapes,9.2,84.4,0.434,17.0,45,0.0
Grapes,0.1,95.2,0.374,33.7,45,0.0
Carrot,36.1,67.3,1.526,5.9,30,0.0
Cucumber,32.7,64.1,1.512,6.0,14,0.0
Cucumber,29.9,65.5,0.271,1.0,14,0.0
Carrot,31.9,61.6,3.119,17.0,30,0.0
Potato,7.8,100.0,0.07,52.4,200,122.9
Potato,28.2,65.3,0.047,4.2,200,142.2
Cucumber,6.0,91.2,0.115,5.6,14,3.7
Apple,7.6,84.5,0.557,49.2,180,40.6
Cucumber,10.2,100.0,0.414,12.0,14,0.0
Spinach,1.5,100.0,0.061,3.0,12,8.7
Grapes,7.4,73.2,0.697,24.7,45,0.0
Onion,17.8,74.8,0.133,68.1,180,70.4
Bell Pepper,20.3,72.4,1.295,12.4,18,0.0
Mango,13.3,96.4,1.06,9.0,21,0.0
Apple,-0.1,90.8,0.611,112.9,180,0.0
Onion_Green,32.3,69.3,2.317,5.6,25,0.0
Orange,7.5,87.6,0.387,44.7,70,0.0
Broccoli,-2.0,95.5,0.182,9.5,18,5.4
Onion,29.1,57.2,0.014,3.1,180,169.5
Apple,2.3,90.1,1.208,131.7,180,0.0
Potato,8.0,91.1,0.129,105.4,200,76.4
Cucumber,11.2,100.0,0.395,10.4,14,0.0
Spinach,15.4,80.6,0.765,8.8,12,0.0
Onion,20.7,70.1,0.124,45.5,180,125.4
Onion_Green,1.3,100.0,0.401,18.5,25,0.0
Apple,0.1,90.1,1.036,169.6,180,0.0
Carrot,-1.0,100.0,0.204,20.9,30,1.5
Broccoli,1.9,99.5,0.493,16.9,18,0.0
Broccoli,-1.0,99.2,0.157,9.2,18,6.7
Banana,19.4,89.1,1.697,7.5,20,0.0
Strawberry,0.7,96.2,0.094,0.3,5,4.7
Tomato,16.7,82.5,0.035,0.4,21,20.5
Onion,37.3,61.5,0.217,23.3,180,4.7
Tomato,30.0,54.6,5.42,13.5,21,0.0
Spinach,1.4,96.8,0.053,3.0,12,8.8
Orange,30.5,77.2,7.837,63.7,70,0.0
Apple,16.4,86.8,2.933,123.4,180,0.0
Potato,8.4,97.7,0.312,150.4,200,0.0
Tomato,13.1,97.3,0.196,3.3,21,14.0
Cucumber,28.5,55.4,1.794,10.5,14,0.0
Apple,32.1,78.8,15.0,116.4,180,0.0
Strawberry,9.3,87.6,2.757,2.8,5,0.0
Onion,30.2,61.1,1.073,162.4,180,0.0
Potato,5.6,94.6,0.034,29.5,200,163.6
Carrot,3.4,100.0,0.016,1.1,30,28.7
Grapes,0.2,87.0,0.137,11.3,45,29.5
Grapes,6.0,89.6,0.598,31.4,45,0.0
Bell Pepper,14.1,87.3,0.958,16.0,18,0.0
Cucumber,10.9,95.6,0.08,2.9,14,10.7
Strawberry,1.4,95.1,1.197,3.5,5,0.0
Carrot,0.2,98.7,0.12,11.9,30,16.2
Bell Pepper,11.2,92.8,0.326,6.8,18,8.4
Onion,32.7,55.2,0.344,45.2,180,0.0
Strawberry,0.4,91.2,0.431,1.4,5,2.9
Grapes,2.0,100.0,0.292,27.7,45,0.0
Tomato,36.9,78.8,1.281,2.1,21,0.0
Bell Pepper,9.3,98.4,0.058,1.5,18,16.1
Orange,3.0,93.8,0.157,22.1,70,36.2
Banana,18.7,82.8,1.519,6.8,20,0.0
Cucumber,13.4,92.6,0.361,10.1,14,0.0
Grapes,35.7,80.0,0.047,0.1,45,42.0
Strawberry,8.7,84.1,2.415,3.6,5,0.0
Mango,20.9,74.9,2.786,12.3,21,0.0
Apple,-0.9,95.2,0.835,155.6,180,0.0
Onion_Green,1.6,91.7,0.193,11.2,25,8.1
Grapes,36.4,55.2,9.746,30.3,45,0.0
Spinach,0.4,94.5,0.101,7.0,12,3.7
Broccoli,31.2,82.9,3.564,6.4,18,0.0
Bell Pepper,12.4,91.5,0.011,0.2,18,17.8
Onion,30.3,59.6,0.813,128.1,180,0.0
Spinach,29.5,81.9,3.234,10.2,12,0.0
Broccoli,0.1,92.2,0.407,16.7,18,0.0
Cucumber,11.7,94.0,0.3,7.5,14,3.7
Orange,17.7,70.1,0.914,31.3,70,0.0
Spinach,37.9,78.3,3.064,5.3,12,0.0
Potato,15.1,82.7,0.202,64.9,200,21.1
Apple,0.8,88.2,0.169,25.4,180,146.0
Grapes,0.5,94.2,0.394,38.5,45,0.0
Spinach,0.4,95.5,0.174,11.2,12,0.0
Cucumber,13.5,92.3,0.426,10.2,14,0.0
Tomato,26.4,73.6,1.146,4.5,21,0.0
Mango,13.6,92.5,2.089,19.3,21,0.0
Tomato,15.7,88.1,0.54,6.8,21,9.7
Onion,31.6,47.3,0.744,115.5,180,0.0
Grapes,3.3,92.3,0.081,4.1,45,39.6
Spinach,1.6,100.0,0.225,10.9,12,0.0
Broccoli,2.1,97.4,0.475,14.5,18,0.0
Onion,17.3,74.9,0.026,18.5,180,151.4
Strawberry,0.3,93.5,0.701,2.7,5,0.0
Orange,5.7,86.8,0.481,57.7,70,0.0
Strawberry,36.5,79.6,15.0,2.3,5,0.0
Spinach,0.8,97.3,0.117,9.1,12,1.6
Apple,36.3,69.4,15.0,105.4,180,0.0
Strawberry,8.9,82.6,1.842,3.2,5,0.0
Orange,8.6,71.8,0.423,34.2,70,0.0
Onion,30.4,63.1,0.461,118.0,180,0.0
Banana,11.4,95.8,0.633,7.2,20,5.8
Orange,4.9,86.8,0.107,12.6,70,55.8
Banana,30.3,82.5,8.145,13.7,20,0.0
Potato,10.1,98.6,0.215,113.6,200,23.0
Potato,35.2,72.6,2.829,138.4,200,0.0
Grapes,0.4,98.5,0.483,38.8,45,0.0
Potato,10.4,89.4,0.113,53.8,200,131.4
Potato,30.6,50.6,1.62,103.7,200,0.0
Grapes,12.0,75.2,0.723,25.2,45,0.0
Onion_Green,11.1,94.2,1.021,18.4,25,0.0
Broccoli,-0.7,97.6,0.088,5.8,18,11.5
Apple,2.5,92.1,0.016,2.1,180,177.8
Broccoli,4.0,94.7,0.245,8.8,18,3.3
Grapes,36.2,51.5,6.366,20.2,45,0.0
Bell Pepper,34.1,77.3,4.648,12.3,18,0.0
Carrot,32.8,71.8,4.872,23.7,30,0.0
Cucumber,32.6,76.2,1.856,8.9,14,0.0
Tomato,15.2,87.0,0.94,12.4,21,0.0
Onion,33.8,62.4,1.022,140.4,180,0.0
Spinach,31.6,51.6,3.881,9.7,12,0.0
Banana,12.6,87.4,1.688,17.4,20,0.0
Tomato,16.3,89.5,1.125,11.1,21,0.0
Bell Pepper,28.3,57.0,0.969,4.2,18,0.0
Cucumber,31.0,69.3,0.754,3.9,14,0.0
Bell Pepper,12.4,100.0,0.198,4.4,18,10.5
Onion,30.9,64.1,0.827,126.5,180,0.0
Mango,32.3,67.1,15.0,18.5,21,0.0
Bell Pepper,15.7,83.2,0.332,4.9,18,5.0
Carrot,3.4,95.9,0.044,3.0,30,26.5
Mango,34.0,52.0,12.971,15.5,21,0.0
Cucumber,31.7,71.1,1.825,8.1,14,0.0
Strawberry,33.5,56.4,7.33,0.7,5,0.0
Banana,27.6,85.3,8.013,15.0,20,0.0
Cucumber,11.0,94.2,0.449,13.0,14,0.0
Banana,27.0,77.5,2.785,8.1,20,0.0
Orange,13.4,73.5,0.196,10.6,70,28.0
Onion,18.9,68.2,0.186,96.3,180,59.7
Grapes,0.5,92.1,0.379,35.3,45,0.0
Onion_Green,0.5,100.0,0.2,11.4,25,10.3
Cucumber,12.3,96.3,0.163,4.4,14,8.7
Grapes,34.7,84.6,10.466,28.2,45,0.0
Orange,0.3,87.7,0.143,23.0,70,33.0
Onion,30.7,75.1,0.487,67.5,180,0.0
Orange,28.5,50.0,3.926,40.0,70,0.0
Cucumber,32.6,58.8,1.389,5.0,14,0.0
Carrot,-0.8,90.4,0.01,0.7,30,29.0
Apple,1.0,86.9,0.729,136.6,180,0.0
Banana,27.2,84.4,5.914,13.0,20,0.0
Cucumber,9.3,94.9,0.124,4.8,14,8.0
Apple,30.5,64.5,1.499,14.2,180,0.0
Orange,34.3,61.3,2.728,16.5,70,0.0
Mango,34.0,74.9,8.355,6.1,21,0.0
Onion,20.1,70.6,0.15,73.9,180,88.1
Carrot,34.4,52.4,1.915,7.3,30,0.0
Grapes,11.3,82.1,1.213,26.6,45,0.0
Strawberry,30.2,82.9,15.0,2.9,5,0.0
Apple,11.1,83.1,1.162,73.2,180,0.0
Tomato,16.6,89.0,1.312,16.4,21,0.0
Cucumber,18.8,80.9,0.4,5.8,14,0.0
Mango,24.0,78.2,0.761,1.6,21,12.1
Tomato,15.2,89.9,0.703,8.7,21,4.3
Onion,33.1,59.4,0.464,50.8,180,0.0
Bell Pepper,19.2,87.1,0.516,5.0,18,0.5
Onion_Green,10.0,88.8,0.401,13.2,25,0.0
Tomato,17.0,88.8,0.831,9.7,21,1.5
Mango,10.0,99.4,1.804,17.2,21,0.0
Mango,16.7,100.0,0.742,4.3,21,10.1
Carrot,0.6,100.0,0.065,6.0,30,23.3
Onion_Green,0.5,99.7,0.109,6.2,25,17.8
Carrot,1.4,90.2,0.256,26.5,30,0.0
Spinach,-0.6,96.4,0.066,4.6,12,6.8
Tomato,33.3,57.3,5.99,10.5,21,0.0
Potato,9.1,95.1,0.223,131.8,200,26.0
Onion,35.5,59.3,1.016,97.8,180,0.0
Cucumber,13.0,96.3,0.467,11.0,14,0.0
Onion_Green,33.0,71.0,1.399,4.4,25,0.0
Grapes,10.9,79.4,1.245,37.7,45,0.0
Banana,32.2,72.8,3.782,5.0,20,0.0
Spinach,30.2,57.2,0.591,2.2,12,0.0
Broccoli,32.4,74.7,5.615,9.7,18,0.0
Carrot,30.5,75.6,2.597,12.6,30,0.0
Onion,20.8,66.2,0.121,52.8,180,118.2
Spinach,28.7,51.1,2.115,8.5,12,0.0
Bell Pepper,9.6,88.6,0.139,2.9,18,14.3
Banana,28.9,73.1,4.024,6.1,20,0.0
Carrot,35.6,84.0,0.323,1.2,30,0.0
Onion_Green,-0.9,97.1,0.036,2.3,25,22.5
Mango,34.9,63.8,7.219,7.5,21,0.0
Mango,22.5,82.9,0.975,3.0,21,7.3
Banana,15.0,90.5,1.154,9.3,20,0.0
Bell Pepper,8.8,100.0,0.013,0.4,18,17.4
Strawberry,32.5,50.5,15.0,2.1,5,0.0
Grapes,3.1,92.5,0.022,2.0,45,42.5
Bell Pepper,12.4,90.3,0.212,4.0,18,12.4
Tomato,18.3,87.5,1.596,15.4,21,0.0
Onion_Green,1.6,95.0,0.399,18.9,25,0.0
Broccoli,0.0,100.0,0.11,4.0,18,13.3
Broccoli,31.4,77.5,2.917,5.9,18,0.0
Potato,8.8,89.0,0.01,3.6,200,196.0
Potato,10.0,91.2,0.021,12.8,200,186.1
Strawberry,-0.3,97.0,0.457,1.6,5,2.3
Carrot,1.8,100.0,0.187,16.5,30,8.9
Orange,34.7,54.7,4.966,27.2,70,0.0
Mango,13.1,98.3,0.063,0.6,21,20.2
Potato,8.7,92.7,0.251,151.4,200,2.9
Carrot,11.9,91.4,0.399,13.6,30,0.0
Cucumber,25.0,80.5,0.258,1.8,14,2.3
Spinach,37.4,51.9,4.44,5.8,12,0.0
Orange,10.7,74.6,0.734,50.8,70,0.0
Mango,34.1,83.2,7.511,6.8,21,0.0
Strawberry,30.0,57.2,15.0,3.1,5,0.0
Orange,5.3,85.6,0.367,39.0,70,12.9
Potato,8.1,91.5,0.31,182.8,200,0.0
Grapes,-0.3,90.3,0.358,25.7,45,7.4
Apple,1.8,100.0,0.261,44.0,180,105.6
Grapes,-0.7,95.6,0.256,26.2,45,8.8
Carrot,34.7,68.8,6.252,22.6,30,0.0
Mango,11.5,95.5,0.892,8.3,21,2.9
Broccoli,11.7,84.4,0.361,4.4,18,0.0
Apple,1.5,89.6,0.792,104.2,180,0.0
Bell Pepper,8.0,100.0,0.219,7.1,18,5.7
Banana,32.2,70.2,12.157,16.6,20,0.0
Orange,17.9,79.7,0.118,3.8,70,51.4
Onion,22.3,70.9,0.123,53.3,180,109.2
Apple,31.5,81.7,15.0,167.9,180,0.0
Onion_Green,-1.1,99.6,0.036,2.0,25,22.8
Bell Pepper,34.6,63.8,5.138,12.8,18,0.0
Banana,14.4,89.1,1.517,12.5,20,0.0
Onion,26.3,55.8,0.556,120.5,180,0.0
Mango,14.9,100.0,0.992,7.2,21,2.0
Mango,12.0,87.8,2.057,16.0,21,0.0
Apple,1.4,100.0,1.07,148.9,180,0.0
Onion_Green,9.4,88.5,1.015,21.8,25,0.0
Tomato,25.5,76.8,4.519,18.9,21,0.0
Apple,28.9,58.4,15.0,150.0,180,0.0
Carrot,1.8,98.1,0.124,11.4,30,16.7
Onion_Green,0.3,100.0,0.014,0.9,25,24.0
Mango,14.9,92.1,0.081,0.4,21,20.5
Onion,19.1,69.8,0.146,90.7,180,68.8
Strawberry,33.7,74.3,15.0,4.4,5,0.0
Carrot,3.1,100.0,0.06,4.9,30,24.1
Tomato,17.1,84.9,1.593,16.0,21,0.0
Potato,8.7,91.6,0.074,51.7,200,143.4
Grapes,28.3,53.2,0.422,2.2,45,0.0
Broccoli,3.7,89.0,0.523,16.5,18,0.0
Banana,10.4,95.0,0.473,5.3,20,10.1
Strawberry,0.1,93.5,0.305,1.9,5,2.4
Onion,20.2,70.2,0.186,77.1,180,82.1
Carrot,32.7,57.4,3.729,15.3,30,0.0
Orange,36.3,75.6,14.045,65.8,70,0.0
Onion,19.4,72.8,0.01,4.2,180,174.9
Banana,11.6,100.0,0.085,0.7,20,18.9
Grapes,32.0,82.7,8.152,40.6,45,0.0
Orange,30.0,63.0,4.201,42.2,70,0.0
Cucumber,24.9,90.2,1.303,9.9,14,0.0
Cucumber,9.1,100.0,0.123,4.2,14,8.0
Cucumber,29.2,54.1,0.644,2.8,14,0.0
Bell Pepper,9.5,98.6,0.223,6.0,18,8.9
Strawberry,9.7,85.6,0.557,0.9,5,1.6
Onion_Green,1.9,100.0,0.134,6.1,25,17.3
Cucumber,10.8,92.9,0.096,2.9,14,10.7
Onion_Green,0.7,99.8,0.407,22.4,25,0.0
Mango,13.2,89.6,0.418,3.6,21,15.4
Bell Pepper,37.1,77.8,6.065,10.0,18,0.0
Onion,18.7,76.9,0.127,60.2,180,0.0
Mango,12.2,99.3,2.016,16.7,21,0.0
Onion_Green,3.8,93.3,0.453,18.1,25,0.0
Banana,37.2,77.2,5.532,4.4,20,0.0
Potato,8.1,91.0,0.018,10.9,200,188.7
Potato,18.0,84.2,0.314,81.2,200,0.0
Strawberry,7.6,91.1,2.48,4.5,5,0.0
Grapes,-2.0,98.8,0.264,28.1,45,0.0
Apple,15.2,87.8,2.096,79.1,180,0.0
Apple,5.4,92.7,0.482,58.8,180,68.8
Onion,32.1,51.0,0.861,145.7,180,0.0
Tomato,37.8,70.3,0.09,0.1,21,19.5
Carrot,2.3,96.6,0.097,7.9,30,20.9
Tomato,22.9,73.6,1.742,11.9,21,0.0
Potato,30.6,55.2,0.199,17.2,200,0.0
Strawberry,1.6,99.7,0.762,2.1,5,0.1
Onion,18.4,74.5,0.202,104.8,180,10.1
Apple,13.2,73.1,2.241,125.0,180,0.0
Carrot,10.6,83.4,0.03,1.2,30,24.9
Orange,4.5,88.0,0.031,7.3,70,62.4
Cucumber,12.7,96.5,0.396,8.9,14,0.5
Onion_Green,0.2,99.2,0.22,13.8,25,7.3
Spinach,1.5,95.9,0.154,7.9,12,2.5
Mango,29.6,69.8,4.632,6.3,21,0.0
Broccoli,36.5,67.9,10.143,12.3,18,0.0
Broccoli,-0.4,96.6,0.346,14.8,18,0.0
Orange,2.7,88.4,0.41,64.4,70,0.0
Orange,13.8,84.9,0.836,50.5,70,0.0
Onion_Green,-1.0,92.7,0.052,3.4,25,20.8
Orange,30.4,77.9,3.095,28.9,70,0.0
Bell Pepper,35.1,80.4,3.553,6.6,18,0.0
Broccoli,34.1,74.1,2.981,4.9,18,0.0
Mango,22.9,74.7,8.11,19.8,21,0.0
Bell Pepper,30.5,76.7,3.845,11.8,18,0.0
Carrot,32.2,79.2,0.26,1.6,30,0.0
Onion_Green,11.0,81.0,0.499,12.1,25,0.0
Mango,12.6,94.1,0.271,1.8,21,18.5
Broccoli,31.8,76.5,4.096,9.1,18,0.0
Bell Pepper,22.6,80.0,1.454,10.2,18,0.0
Grapes,-0.0,100.0,0.095,8.3,45,32.6
Banana,34.3,81.0,7.853,8.2,20,0.0
Mango,29.0,54.1,4.055,6.0,21,0.0
Orange,37.0,64.5,0.283,1.3,70,37.7
Grapes,30.7,59.7,6.877,22.4,45,0.0
Mango,11.7,100.0,0.277,2.9,21,15.9
Spinach,-1.2,100.0,0.087,7.7,12,2.4
Broccoli,1.0,100.0,0.072,3.2,18,14.3
Grapes,35.8,70.1,1.533,5.0,45,0.0
Potato,16.9,80.8,0.187,65.3,200,0.0
Cucumber,21.7,85.8,0.863,9.2,14,0.0
Bell Pepper,8.6,87.9,0.522,17.1,18,0.0
Tomato,31.2,68.0,5.783,17.6,21,0.0
Onion,19.6,63.7,0.013,7.3,180,171.9
Banana,31.6,63.9,2.914,3.4,20,0.0
Grapes,36.5,74.0,0.344,0.9,45,18.8
Onion_Green,2.3,98.8,0.056,2.7,25,21.8
Tomato,18.3,85.6,0.551,4.6,21,13.0
Cucumber,33.1,70.8,2.879,9.4,14,0.0
Tomato,18.6,86.1,0.27,2.5,21,17.4
Cucumber,29.8,75.3,2.756,10.8,14,0.0
Onion_Green,2.4,97.1,0.106,7.6,25,15.6
Potato,20.2,80.6,0.361,82.1,200,0.0
Apple,13.9,83.0,3.142,138.3,180,0.0
Onion_Green,9.3,85.1,0.797,18.6,25,0.0
Banana,21.1,82.3,1.723,9.6,20,0.0
Cucumber,35.2,72.4,3.095,8.9,14,0.0
Mango,22.7,85.3,2.286,6.5,21,0.0
Onion_Green,0.4,98.5,0.195,12.3,25,9.7
Spinach,29.3,61.1,0.19,0.7,12,0.0
Broccoli,-0.9,100.0,0.059,2.9,18,14.7
Onion,36.3,78.0,0.663,62.0,180,0.0
Onion,31.2,51.3,1.096,157.0,180,0.0
Onion_Green,-1.7,98.9,0.221,13.7,25,6.8
Cucumber,32.9,62.0,1.857,5.6,14,0.0
Tomato,17.0,88.8,1.552,15.3,21,0.0
Cucumber,26.5,82.6,0.561,3.7,14,0.0
Mango,11.5,98.5,0.768,7.7,21,4.1
Grapes,0.8,92.9,0.402,42.7,45,0.0
Strawberry,7.7,88.0,2.339,4.5,5,0.0
Apple,0.1,91.3,0.208,39.9,180,128.3
Tomato,23.4,74.1,2.928,17.7,21,0.0
Onion_Green,7.9,87.2,0.72,17.3,25,0.0
Carrot,-1.0,99.6,0.194,25.2,30,0.0
Spinach,2.2,97.3,0.164,10.3,12,0.0
Onion_Green,-0.0,100.0,0.174,14.2,25,7.3
Orange,6.6,88.4,0.07,7.9,70,61.0
Carrot,3.5,94.8,0.201,14.8,30,9.0
Potato,12.7,91.7,0.199,108.2,200,28.2
Onion_Green,8.9,84.4,0.434,11.8,25,0.0
Onion_Green,-2.0,93.6,0.27,16.9,25,0.0
Orange,32.6,76.9,6.348,39.4,70,0.0
Onion,36.1,55.8,0.012,1.1,180,172.5
Grapes,7.0,85.0,1.095,40.0,45,0.0
Banana,12.8,92.6,1.811,15.5,20,0.0
Carrot,2.8,100.0,0.302,28.1,30,0.0
Cucumber,9.5,93.4,0.112,4.1,14,8.9
Strawberry,33.8,65.0,15.0,3.1,5,0.0
Grapes,34.7,75.6,11.097,25.2,45,0.0
Broccoli,9.1,86.1,0.146,3.1,18,6.5
Bell Pepper,11.1,93.4,0.35,9.9,18,3.6
Orange,5.1,86.0,0.27,34.3,70,24.0
Orange,5.6,91.9,0.073,6.2,70,62.4
Spinach,-1.3,96.6,0.039,2.8,12,8.7
Bell Pepper,9.9,90.8,0.532,13.7,18,0.0
Spinach,36.7,72.2,5.725,9.6,12,0.0
Grapes,0.0,92.0,0.387,37.9,45,0.0
Onion_Green,31.7,68.6,9.836,22.7,25,0.0
Mango,23.3,77.3,2.937,7.2,21,0.0
Grapes,35.1,66.8,10.321,25.0,45,0.0
Orange,7.1,91.7,0.524,65.6,70,0.0
Orange,3.5,85.7,0.405,59.0,70,0.0
Tomato,17.0,85.4,0.017,0.2,21,20.8
Carrot,0.9,95.1,0.134,16.0,30,10.8
Banana,21.8,72.5,0.323,1.3,20,13.1
Grapes,1.1,93.4,0.072,5.3,45,39.1
Orange,3.2,95.6,0.166,26.8,70,24.3
Orange,6.1,88.0,0.144,13.6,70,53.7
Bell Pepper,37.9,80.6,11.825,17.1,18,0.0
Grapes,-1.0,98.6,0.042,4.5,45,39.1
Grapes,28.0,50.7,4.091,20.0,45,0.0
Tomato,34.9,65.4,3.443,7.6,21,0.0
Potato,32.2,53.3,1.595,92.1,200,0.0
Mango,12.4,90.0,0.378,3.2,21,16.2
Grapes,-0.7,95.3,0.034,3.9,45,40.8
Strawberry,36.5,60.8,13.383,1.0,5,0.0
Potato,21.1,78.3,0.082,18.1,200,98.4
Mango,32.3,64.0,0.466,0.7,21,11.5
Mango,20.9,80.3,0.044,0.2,21,20.4
Potato,18.7,81.0,0.027,6.6,200,173.7
Broccoli,-0.6,99.7,0.393,16.1,18,0.0
Spinach,-1.6,100.0,0.017,1.3,12,10.4
Carrot,10.6,92.9,0.715,27.9,30,0.0
Onion_Green,0.4,96.4,0.09,5.0,25,19.5
Spinach,29.7,52.5,1.591,4.6,12,0.0
Grapes,0.4,98.8,0.014,1.2,45,43.4
Onion_Green,10.1,77.7,0.37,8.1,25,0.0
